,Team,Player,Mouse,Hz,DPI,Sens,eDPI,Scoped Sens,Monitor,Resolution,Mousepad,Keyboard,Headset
150,DRX,Foxy9,Razer Viper V3 Hyperspeed,1000.0,800.0,0.39299999999999996,314.4,1.0,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,Razer Huntsman V3 Pro TKL,Razer BlackShark V2 Pro
151,DRX,MaKo,Razer DeathAdder V3 Pro Faker Edition,1000.0,400.0,0.45,180.0,1.0,ZOWIE XL2546S,1920x1080,SteelSeries QcK Heavy,Razer Huntsman V3 Pro,Razer BlackShark V2 Pro
152,DRX,fiveK,Logitech G Pro X Superlight Black,1000.0,400.0,0.485,194.0,0.76,ZOWIE XL2546K,1440x1080,SteelSeries QcK Heavy,HyperX Alloy FPS Pro,
153,DRX,stax,Razer DeathAdder V3 Pro Faker Edition,1000.0,400.0,0.42,168.0,0.9,ZOWIE XL2546S,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,Razer BlackShark V2 Pro
154,DRX,BuZz,Razer Viper V3 Hyperspeed,1000.0,400.0,0.57,228.0,0.8,ZOWIE XL2546K,1280x960,Xraypad Aqua Control II White,Wooting 60 HE,Razer BlackShark V2 Pro
155,DRX,Zest,Razer Viper V3 Hyperspeed,1000.0,400.0,0.56,224.0,1.0,ZOWIE XL2546K,1920x1080,ZOWIE G-SR,Wooting 60 HE,Razer BlackShark V2 Pro
156,Giants,nukkye,VAXEE XE Wireless Black,1000.0,1600.0,0.175,176.0,1.0,ZOWIE XL2566K,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Logitech G Pro X Headset
157,Giants,hoody,VAXEE XE Wireless Blue,1000.0,400.0,0.628,251.2,1.0,ZOWIE XL2566K,1920x1080,Logitech G640 Original,,Logitech G Pro X Headset
158,Giants,Fit1nho,Logitech G Pro X Superlight Black,1000.0,800.0,0.314,251.2,,ZOWIE XL2566K,1920x1080,Lethal Gaming Gear Saturn Pro Red,Wooting 60 HE,HyperX Cloud II
159,Giants,Cloud,Logitech G Pro X Superlight Black,1000.0,800.0,0.35,280.0,1.0,ZOWIE XL2566K,1920x1080,VAXEE PA FunSpark V2,Wooting 60 HE,HyperX Cloud II Pink
160,Giants,Redgar,Logitech G Pro X Superlight White,1000.0,800.0,0.27,216.0,1.0,ZOWIE XL2546K,1920x1080,ZOWIE G-SR-SE Deep Blue,Logitech G Pro X Keyboard,Logitech G Pro X Headset
161,Gentle Mates,LOGAN,ZOWIE FK1,1000.0,400.0,0.534,213.6,1.0,ZOWIE XL2411T,,ZOWIE G-SR,SteelSeries Apex M500,HyperX Cloud II
